TimeStep,KilobotID,X,Y,Theta,Neighbors,CoMX,CoMY,EstimateHeading,EstimateError
1005,0,577,287,5.0,0,577,287,0,0
1008,0,577,286,5.0,0,577,286,0,0
1011,0,577,285,5.0,0,577,285,0,0
1014,0,578,284,5.0,0,578,284,0,0
1017,0,578,284,5.0,0,578,284,0,0
1020,0,578,283,5.0,0,578,283,0,0
1023,0,578,282,5.0,0,578,282,0,0
1026,0,579,281,5.0,0,579,281,0,0
1029,0,579,281,5.0,0,579,281,0,0
1032,0,579,280,5.0,0,579,280,0,0
1035,0,579,279,5.0,0,579,279,0,0
1038,0,579,278,5.0,0,579,278,0,0
1041,0,580,278,5.0,0,580,278,0,0
1044,0,580,277,5.0,0,580,277,0,0
1047,0,580,276,5.0,0,580,276,0,0
1050,0,580,275,5.0,0,580,275,0,0
1053,0,581,274,5.0,0,581,274,0,0
1056,0,581,274,5.0,0,581,274,0,0
1059,0,581,273,5.0,0,581,273,0,0
1062,0,581,272,5.0,0,581,272,0,0
1065,0,582,271,5.0,0,582,271,0,0
1068,0,582,271,5.0,0,582,271,0,0
1071,0,582,270,5.0,0,582,270,0,0
1074,0,582,269,5.0,0,582,269,0,0
1077,0,582,268,5.0,0,582,268,0,0
1080,0,583,268,5.0,0,583,268,0,0
1083,0,583,267,5.0,0,583,267,0,0
1086,0,583,266,5.0,0,583,266,0,0
1089,0,583,265,5.0,0,583,265,0,0
1092,0,584,265,5.0,0,584,265,0,0
1095,0,584,264,5.0,0,584,264,0,0
1098,0,584,263,3.21,0,584,263,0,0
1101,0,584,263,3.21,0,584,263,0,0
1104,0,584,263,3.21,0,584,263,0,0
1107,0,584,263,3.21,0,584,263,0,0
1110,0,584,263,3.21,0,584,263,0,0
1113,0,584,263,3.21,0,584,263,0,0
1116,0,583,263,3.21,0,583,263,0,0
1119,0,582,263,3.21,0,582,263,0,0
1122,0,581,263,3.21,0,581,263,0,0
1125,0,580,263,3.21,0,580,263,0,0
1128,0,580,263,3.21,0,580,263,0,0
1131,0,579,263,3.21,0,579,263,0,0
1134,0,578,263,3.21,0,578,263,0,0
1137,0,577,263,3.21,0,577,263,0,0
1140,0,576,263,3.21,0,576,263,0,0
1143,0,576,263,3.21,0,576,263,0,0
1146,0,575,263,3.21,0,575,263,0,0
1149,0,574,263,3.21,0,574,263,0,0
1152,0,573,263,3.21,0,573,263,0,0
1155,0,573,262,3.21,0,573,262,0,0
