ObjectID,Frame,X,Y
2,3228,"[740.0, 687.5]","[573.0, 326.5]"
2,3229,"[740.0, 686.5]","[573.0, 326.5]"
2,3230,"[740.0, 686.5]","[573.0, 326.5]"
2,3231,"[740.0, 687.5]","[573.0, 326.5]"
2,3232,"[740.0, 686.5]","[573.0, 326.5]"
2,3233,"[740.0, 686.5]","[573.0, 326.5]"
2,3234,"[740.0, 686.5]","[573.0, 326.5]"
2,3235,"[739.0, 686.5]","[573.0, 326.5]"
2,3236,"[739.0, 686.5]","[573.0, 326.5]"
2,3237,"[739.0, 686.5]","[573.0, 326.5]"
2,3238,"[739.0, 686.5]","[573.0, 326.5]"
2,3239,"[739.0, 686.5]","[573.0, 326.5]"
2,3240,"[739.0, 686.5]","[574.0, 326.5]"
2,3241,"[739.0, 686.5]","[574.0, 326.5]"
2,3242,"[739.0, 686.5]","[574.0, 326.5]"
2,3243,"[738.0, 685.5]","[574.0, 326.5]"
2,3244,"[738.0, 685.5]","[574.0, 326.5]"
2,3245,"[738.0, 685.5]","[574.0, 326.5]"
2,3246,"[738.0, 685.5]","[574.0, 326.5]"
2,3247,"[738.0, 685.5]","[574.0, 326.5]"
2,3248,"[738.0, 685.5]","[574.0, 326.5]"
2,3249,"[738.0, 685.5]","[574.0, 326.5]"
2,3250,"[737.0, 685.5]","[574.0, 326.5]"
2,3251,"[737.0, 684.5]","[575.0, 326.5]"
2,3252,"[737.0, 684.5]","[575.0, 326.5]"
2,3253,"[737.0, 685.5]","[575.0, 326.5]"
2,3254,"[737.0, 684.5]","[575.0, 326.5]"
2,3255,"[737.0, 685.5]","[575.0, 326.5]"
2,3256,"[736.0, 684.5]","[575.0, 326.5]"
2,3257,"[736.0, 684.5]","[575.0, 326.5]"
2,3258,"[736.0, 684.5]","[575.0, 326.5]"
2,3259,"[736.0, 684.5]","[575.0, 326.5]"
2,3260,"[736.0, 684.5]","[575.0, 326.5]"
2,3261,"[736.0, 684.5]","[575.0, 326.5]"
2,3262,"[735.0, 684.5]","[576.0, 326.5]"
2,3263,"[735.0, 683.5]","[576.0, 326.5]"
2,3264,"[735.0, 683.5]","[576.0, 326.5]"
2,3265,"[735.0, 683.5]","[576.0, 326.5]"
2,3266,"[736.0, 683.5]","[576.0, 326.5]"
2,3267,"[735.0, 683.5]","[576.0, 326.5]"
2,3268,"[735.0, 683.5]","[576.0, 326.5]"
2,3269,"[735.0, 683.5]","[576.0, 326.5]"
2,3270,"[735.0, 683.5]","[576.0, 326.5]"
2,3271,"[735.0, 683.5]","[576.0, 326.5]"
2,3272,"[735.0, 683.5]","[576.0, 326.5]"
2,3273,"[734.0, 682.5]","[576.0, 326.5]"
2,3274,"[734.0, 683.5]","[576.0, 327.5]"
2,3275,"[734.0, 682.5]","[576.0, 326.5]"
2,3276,"[734.0, 682.5]","[576.0, 326.5]"
2,3277,"[734.0, 682.5]","[576.0, 326.5]"
2,3278,"[733.0, 683.5]","[576.0, 326.5]"
2,3279,"[733.0, 682.5]","[577.0, 326.5]"
2,3280,"[733.0, 682.5]","[577.0, 327.5]"
2,3281,"[733.0, 682.5]","[577.0, 326.5]"
2,3282,"[733.0, 682.5]","[577.0, 327.5]"
2,3283,"[733.0, 682.5]","[577.0, 326.5]"
2,3284,"[733.0, 681.5]","[577.0, 326.5]"
2,3285,"[733.0, 682.5]","[577.0, 327.5]"
2,3286,"[733.0, 682.5]","[577.0, 326.5]"
2,3287,"[733.0, 681.5]","[577.0, 326.5]"
2,3288,"[733.0, 681.5]","[577.0, 327.5]"
2,3289,"[732.0, 681.5]","[577.0, 327.5]"
2,3290,"[732.0, 681.5]","[577.0, 326.5]"
2,3291,"[732.0, 681.5]","[578.0, 326.5]"
2,3292,"[733.0, 681.5]","[578.0, 327.5]"
2,3293,"[732.0, 681.5]","[578.0, 327.5]"
2,3294,"[732.0, 681.5]","[578.0, 327.5]"
2,3295,"[732.0, 681.5]","[578.0, 327.5]"
2,3296,"[732.0, 680.5]","[578.0, 327.5]"
2,3297,"[732.0, 680.5]","[578.0, 327.5]"
2,3298,"[732.0, 681.5]","[578.0, 327.5]"
2,3299,"[732.0, 680.5]","[578.0, 327.5]"
2,3300,"[732.0, 680.5]","[578.0, 327.5]"
2,3301,"[731.0, 680.5]","[578.0, 327.5]"
2,3302,"[731.0, 680.5]","[578.0, 328.5]"
2,3303,"[731.0, 680.5]","[579.0, 327.5]"
2,3304,"[731.0, 679.5]","[579.0, 328.5]"
2,3305,"[731.0, 679.5]","[579.0, 327.5]"
2,3306,"[731.0, 680.5]","[579.0, 327.5]"
2,3307,"[731.0, 679.5]","[579.0, 327.5]"
2,3308,"[731.0, 679.5]","[579.0, 328.5]"
